                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length   21/7, alignment  9/ 0, found:	610.359	896.812	763.344
Length   21/7, alignment  9/ 0, fail:	552.562	835.781	768.234
Length   21/7, alignment  9/ 3, found:	610.359	895.188	765.797
Length   21/7, alignment  9/ 3, fail:	552.578	839.031	769.859
Length   21/7, alignment  9/ 9, found:	609.531	895.172	765.781
Length   21/7, alignment  9/ 9, fail:	552.578	836.594	767.422
Length   21/7, alignment  9/15, found:	610.344	895.188	765.797
Length   21/7, alignment  9/15, fail:	552.562	837.406	769.047
Length   21/7, alignment 15/ 0, found:	596.516	885.422	730.797
Length   21/7, alignment 15/ 0, fail:	539.547	826.016	732.422
Length   21/7, alignment 15/ 3, found:	598.953	885.422	728.359
Length   21/7, alignment 15/ 3, fail:	541.172	827.625	732.422
Length   21/7, alignment 15/ 9, found:	597.328	885.422	728.344
Length   21/7, alignment 15/ 9, fail:	541.172	826.812	731.609
Length   21/7, alignment 15/15, found:	598.141	886.219	728.344
Length   21/7, alignment 15/15, fail:	539.547	830.078	730.797
Length   28/7, alignment  0/ 0, found:	657.547	944.828	1029.45
Length   28/7, alignment  0/ 0, fail:	600.578	887.047	1099.45
Length   28/7, alignment  0/ 3, found:	656.734	946.453	1029.47
Length   28/7, alignment  0/ 3, fail:	598.141	887.031	1092.94
Length   28/7, alignment  0/ 9, found:	656.734	944.828	1021.33
Length   28/7, alignment  0/ 9, fail:	598.953	885.406	1092.94
Length   28/7, alignment  0/15, found:	657.562	942.375	1028.66
Length   28/7, alignment  0/15, fail:	598.141	887.047	1093.75
Length   28/7, alignment  3/ 0, found:	656.75	944.812	1021.33
Length   28/7, alignment  3/ 0, fail:	598.953	888.672	1275.23
Length   28/7, alignment  3/ 3, found:	657.547	944.828	1018.06
Length   28/7, alignment  3/ 3, fail:	599.766	886.234	1086.44
Length   28/7, alignment  3/ 9, found:	655.922	944.812	1019.69
Length   28/7, alignment  3/ 9, fail:	598.141	884.609	1085.61
Length   28/7, alignment  3/15, found:	656.75	945.641	1022.14
Length   28/7, alignment  3/15, fail:	599.781	884.609	1091.31
Length   28/7, alignment  9/ 0, found:	667.312	955.391	1024.58
Length   28/7, alignment  9/ 0, fail:	610.359	895.188	1096.2
Length   28/7, alignment  9/ 3, found:	668.125	955.391	1028.66
Length   28/7, alignment  9/ 3, fail:	610.359	896	1090.5
Length   28/7, alignment  9/ 9, found:	668.953	954.594	1026.22
Length   28/7, alignment  9/ 9, fail:	610.359	896.812	1092.94
Length   28/7, alignment  9/15, found:	668.938	955.406	1026.2
Length   28/7, alignment  9/15, fail:	610.359	895.172	1092.12
Length   28/7, alignment 15/ 0, found:	657.562	944.016	991.219
Length   28/7, alignment 15/ 0, fail:	598.953	887.859	1057.94
Length   28/7, alignment 15/ 3, found:	657.562	944.828	990.406
Length   28/7, alignment 15/ 3, fail:	598.156	885.422	1083.98
Length   28/7, alignment 15/ 9, found:	656.75	944.828	990.406
Length   28/7, alignment 15/ 9, fail:	598.953	886.234	1056.33
Length   28/7, alignment 15/15, found:	656.734	943.188	992.016
Length   28/7, alignment 15/15, fail:	598.141	886.219	1056.31
Length   35/7, alignment  0/ 0, found:	715.344	1002.61	1289.88
Length   35/7, alignment  0/ 0, fail:	657.547	945.641	1354.98
Length   35/7, alignment  0/ 3, found:	714.516	1001.78	1289.88
Length   35/7, alignment  0/ 3, fail:	657.547	944.016	1354.98
Length   35/7, alignment  0/ 9, found:	713.703	1003.41	1289.88
Length   35/7, alignment  0/ 9, fail:	658.359	942.375	1354.97
Length   35/7, alignment  0/15, found:	715.328	1005.05	1284.17
Length   35/7, alignment  0/15, fail:	657.547	944.016	1354.17
Length   35/7, alignment  3/ 0, found:	714.516	1002.59	1280.92
Length   35/7, alignment  3/ 0, fail:	657.547	943.203	1346.83
Length   35/7, alignment  3/ 3, found:	716.156	1005.86	1278.48
Length   35/7, alignment  3/ 3, fail:	737.297	1044.92	1354.98
Length   35/7, alignment  3/ 9, found:	716.953	1004.23	1283.36
Length   35/7, alignment  3/ 9, fail:	656.734	944.828	1347.66
Length   35/7, alignment  3/15, found:	715.328	1002.59	1280.92
Length   35/7, alignment  3/15, fail:	656.734	944.016	1347.66
Length   35/7, alignment  9/ 0, found:	727.531	1014	1286.62
Length   35/7, alignment  9/ 0, fail:	668.938	954.594	1352.55
Length   35/7, alignment  9/ 3, found:	725.922	1012.36	1287.42
Length   35/7, alignment  9/ 3, fail:	668.938	954.594	1338.7
Length   35/7, alignment  9/ 9, found:	725.922	1213.39	1289.06
Length   35/7, alignment  9/ 9, fail:	669.766	954.594	1352.53
Length   35/7, alignment  9/15, found:	726.734	1012.38	1286.61
Length   35/7, alignment  9/15, fail:	668.141	954.578	1352.55
Length   35/7, alignment 15/ 0, found:	713.703	1003.42	1251.62
Length   35/7, alignment 15/ 0, fail:	656.734	942.375	1318.36
Length   35/7, alignment 15/ 3, found:	714.516	1003.42	1259.77
Length   35/7, alignment 15/ 3, fail:	657.562	944.016	1319.98
Length   35/7, alignment 15/ 9, found:	716.141	1002.59	1250
Length   35/7, alignment 15/ 9, fail:	655.922	944.016	1318.36
Length   35/7, alignment 15/15, found:	715.328	1000.98	1259.77
Length   35/7, alignment 15/15, fail:	656.75	945.641	1341.16
Length   42/7, alignment  0/ 0, found:	774.734	1061.19	1551.11
Length   42/7, alignment  0/ 0, fail:	714.516	1002.59	1679.69
Length   42/7, alignment  0/ 3, found:	772.297	1060.38	1550.3
Length   42/7, alignment  0/ 3, fail:	716.969	1001.8	1682.95
Length   42/7, alignment  0/ 9, found:	773.109	1061.19	1551.92
Length   42/7, alignment  0/ 9, fail:	716.141	1005.05	1680.5
Length   42/7, alignment  0/15, found:	773.125	1058.77	1551.92
Length   42/7, alignment  0/15, fail:	715.344	1003.41	1706.53
Length   42/7, alignment  3/ 0, found:	772.297	1061.2	1535.64
Length   42/7, alignment  3/ 0, fail:	714.531	1003.42	1674
Length   42/7, alignment  3/ 3, found:	773.109	1062.02	1542.97
Length   42/7, alignment  3/ 3, fail:	716.156	1003.42	1682.94
Length   42/7, alignment  3/ 9, found:	773.922	1060.39	1542.97
Length   42/7, alignment  3/ 9, fail:	716.141	1006.67	1699.22
Length   42/7, alignment  3/15, found:	772.297	1061.2	1544.61
Length   42/7, alignment  3/15, fail:	716.141	1002.61	1691.08
Length   42/7, alignment  9/ 0, found:	785.328	1070.16	1547.86
Length   42/7, alignment  9/ 0, fail:	727.531	1012.36	1681.31
Length   42/7, alignment  9/ 3, found:	784.5	1070.97	1545.42
Length   42/7, alignment  9/ 3, fail:	727.531	1013.19	1682.12
Length   42/7, alignment  9/ 9, found:	784.5	1071.78	1544.59
Length   42/7, alignment  9/ 9, fail:	727.547	1013.19	1676.42
Length   42/7, alignment  9/15, found:	785.328	1070.97	1548.67
Length   42/7, alignment  9/15, fail:	727.531	1013.19	1700.03
Length   42/7, alignment 15/ 0, found:	773.109	1059.58	1512.86
Length   42/7, alignment 15/ 0, fail:	715.344	1001.78	1682.14
Length   42/7, alignment 15/ 3, found:	773.922	1062.02	1512.86
Length   42/7, alignment 15/ 3, fail:	716.156	1003.42	1647.95
Length   42/7, alignment 15/ 9, found:	773.109	1060.38	1512.86
Length   42/7, alignment 15/ 9, fail:	714.516	1002.59	1647.95
Length   42/7, alignment 15/15, found:	773.125	1061.2	1512.05
Length   42/7, alignment 15/15, fail:	716.141	1002.61	1647.14
Length   49/7, alignment  0/ 0, found:	830.891	1118.98	1810.72
Length   49/7, alignment  0/ 0, fail:	773.109	1060.38	1968.58
Length   49/7, alignment  0/ 3, found:	831.719	1120.61	1807.45
Length   49/7, alignment  0/ 3, fail:	773.922	1061.2	1927.08
Length   49/7, alignment  0/ 9, found:	830.891	1118.17	1812.33
Length   49/7, alignment  0/ 9, fail:	774.734	1060.39	1944.17
Length   49/7, alignment  0/15, found:	830.891	1120.61	1809.91
Length   49/7, alignment  0/15, fail:	773.922	1062.02	1945.8
Length   49/7, alignment  3/ 0, found:	831.703	1118.97	1805.02
Length   49/7, alignment  3/ 0, fail:	775.547	1061.2	1936.03
Length   49/7, alignment  3/ 3, found:	830.078	1119.8	1805
Length   49/7, alignment  3/ 3, fail:	774.734	1060.39	1962.08
Length   49/7, alignment  3/ 9, found:	831.703	1118.98	1800.14
Length   49/7, alignment  3/ 9, fail:	773.922	1062.83	1950.69
Length   49/7, alignment  3/15, found:	831.719	1117.36	1803.38
Length   49/7, alignment  3/15, fail:	774.734	1061.2	1935.22
Length   49/7, alignment  9/ 0, found:	843.906	1127.11	1809.08
Length   49/7, alignment  9/ 0, fail:	786.125	1070.95	1966.14
Length   49/7, alignment  9/ 3, found:	844.719	1129.56	1804.2
Length   49/7, alignment  9/ 3, fail:	786.125	1070.14	1941.73
Length   49/7, alignment  9/ 9, found:	843.094	1129.56	1803.39
Length   49/7, alignment  9/ 9, fail:	786.141	1072.59	1966.97
Length   49/7, alignment  9/15, found:	843.109	1128.75	1809.09
Length   49/7, alignment  9/15, fail:	785.312	1072.59	1943.36
Length   49/7, alignment 15/ 0, found:	830.891	1119.8	1771.64
Length   49/7, alignment 15/ 0, fail:	773.109	1060.38	1907.55
Length   49/7, alignment 15/ 3, found:	831.703	1119.8	1772.45
Length   49/7, alignment 15/ 3, fail:	773.938	1061.19	1909.17
Length   49/7, alignment 15/ 9, found:	1043.3	1121.42	1772.45
Length   49/7, alignment 15/ 9, fail:	773.109	1060.39	1910
Length   49/7, alignment 15/15, found:	831.719	1119.8	1772.45
Length   49/7, alignment 15/15, fail:	774.734	1061.19	1944.98
Length   56/7, alignment  0/ 0, found:	889.484	1177.58	2071.12
Length   56/7, alignment  0/ 0, fail:	832.531	1118.98	2267.25
Length   56/7, alignment  0/ 3, found:	890.312	1178.39	2071.94
Length   56/7, alignment  0/ 3, fail:	832.516	1119.78	2249.36
Length   56/7, alignment  0/ 9, found:	890.297	1176.77	2071.95
Length   56/7, alignment  0/ 9, fail:	833.328	1119.8	2272.14
Length   56/7, alignment  0/15, found:	890.297	1179.2	2071.94
Length   56/7, alignment  0/15, fail:	831.719	1118.16	2249.34
Length   56/7, alignment  3/ 0, found:	889.5	1177.58	2061.36
Length   56/7, alignment  3/ 0, fail:	832.516	1119.8	2268.88
Length   56/7, alignment  3/ 3, found:	890.297	1178.38	2063.8
Length   56/7, alignment  3/ 3, fail:	832.516	1119.78	2260.73
Length   56/7, alignment  3/ 9, found:	889.484	1179.19	2065.44
Length   56/7, alignment  3/ 9, fail:	834.141	1120.61	2266.44
Length   56/7, alignment  3/15, found:	890.297	1178.39	2058.92
Length   56/7, alignment  3/15, fail:	831.703	1118.97	2265.62
Length   56/7, alignment  9/ 0, found:	902.5	1187.34	2062.17
Length   56/7, alignment  9/ 0, fail:	843.109	1130.36	2266.44
Length   56/7, alignment  9/ 3, found:	901.703	1188.16	2062.19
Length   56/7, alignment  9/ 3, fail:	845.531	1127.12	2269.69
Length   56/7, alignment  9/ 9, found:	902.5	1187.34	2063.8
Length   56/7, alignment  9/ 9, fail:	843.906	1127.94	2268.08
Length   56/7, alignment  9/15, found:	901.688	1188.16	2064.62
Length   56/7, alignment  9/15, fail:	845.547	1130.36	2269.7
Length   56/7, alignment 15/ 0, found:	889.484	1179.2	2029.61
Length   56/7, alignment 15/ 0, fail:	831.703	1118.97	2230.62
Length   56/7, alignment 15/ 3, found:	890.312	1178.39	2032.88
Length   56/7, alignment 15/ 3, fail:	830.891	1310.22	2228.19
Length   56/7, alignment 15/ 9, found:	891.109	1176.75	2028.81
Length   56/7, alignment 15/ 9, fail:	833.344	1119.8	2230.62
Length   56/7, alignment 15/15, found:	889.484	1176.77	2028.81
Length   56/7, alignment 15/15, fail:	833.328	1119.78	2231.44
Length   63/7, alignment  0/ 0, found:	948.891	1235.36	2328.3
Length   63/7, alignment  0/ 0, fail:	890.312	1178.39	2526.05
Length   63/7, alignment  0/ 3, found:	948.891	1236.17	2328.3
Length   63/7, alignment  0/ 3, fail:	890.297	1179.19	2530.92
Length   63/7, alignment  0/ 9, found:	948.078	1236.17	2329.11
Length   63/7, alignment  0/ 9, fail:	889.484	1177.58	2526.05
Length   63/7, alignment  0/15, found:	948.891	1236.16	2327.47
Length   63/7, alignment  0/15, fail:	891.938	1177.58	2505.7
Length   63/7, alignment  3/ 0, found:	948.078	1234.55	2325.03
Length   63/7, alignment  3/ 0, fail:	891.125	1178.38	2502.44
Length   63/7, alignment  3/ 3, found:	948.891	1235.34	2325.84
Length   63/7, alignment  3/ 3, fail:	891.109	1178.38	2522.78
Length   63/7, alignment  3/ 9, found:	948.078	1236.97	2321.78
Length   63/7, alignment  3/ 9, fail:	889.484	1177.58	2521.97
Length   63/7, alignment  3/15, found:	949.703	1236.17	2325.84
Length   63/7, alignment  3/15, fail:	889.484	1177.56	2517.08
Length   63/7, alignment  9/ 0, found:	960.297	1243.48	2331.55
Length   63/7, alignment  9/ 0, fail:	902.516	1186.52	2528.48
Length   63/7, alignment  9/ 3, found:	959.469	1245.12	2329.91
Length   63/7, alignment  9/ 3, fail:	903.328	1185.72	2527.67
Length   63/7, alignment  9/ 9, found:	960.281	1245.92	2329.91
Length   63/7, alignment  9/ 9, fail:	902.5	1187.34	2532.56
Length   63/7, alignment  9/15, found:	959.469	1245.12	2324.22
Length   63/7, alignment  9/15, fail:	902.516	1188.16	2531.73
Length   63/7, alignment 15/ 0, found:	948.078	1412.77	2314.45
Length   63/7, alignment 15/ 0, fail:	891.109	1179.2	2488.61
Length   63/7, alignment 15/ 3, found:	948.078	1236.97	2289.23
Length   63/7, alignment 15/ 3, fail:	892.75	1178.39	2504.89
Length   63/7, alignment 15/ 9, found:	949.703	1238.61	2290.84
Length   63/7, alignment 15/ 9, fail:	890.312	1178.39	2518.72
Length   63/7, alignment 15/15, found:	948.078	1236.98	2289.22
Length   63/7, alignment 15/15, fail:	890.312	1177.58	2490.23
Length   70/7, alignment  0/ 0, found:	1006.67	1293.94	2588.7
Length   70/7, alignment  0/ 0, fail:	948.078	1236.17	2792.16
Length   70/7, alignment  0/ 3, found:	1005.05	1293.95	2583.02
Length   70/7, alignment  0/ 3, fail:	948.906	1235.36	2781.58
Length   70/7, alignment  0/ 9, found:	1006.67	1294.75	2589.52
Length   70/7, alignment  0/ 9, fail:	948.906	1234.55	2790.53
Length   70/7, alignment  0/15, found:	1005.05	1294.75	2590.33
Length   70/7, alignment  0/15, fail:	949.703	1236.98	2788.09
Length   70/7, alignment  3/ 0, found:	1007.48	1295.58	2587.08
Length   70/7, alignment  3/ 0, fail:	948.891	1236.16	2788.08
Length   70/7, alignment  3/ 3, found:	1006.67	1293.12	2586.27
Length   70/7, alignment  3/ 3, fail:	950.531	1235.36	2783.2
Length   70/7, alignment  3/ 9, found:	1006.67	1293.95	2586.27
Length   70/7, alignment  3/ 9, fail:	948.078	1236.97	2788.09
Length   70/7, alignment  3/15, found:	1007.48	1295.58	2587.89
Length   70/7, alignment  3/15, fail:	949.719	1236.17	2763.67
Length   70/7, alignment  9/ 0, found:	1018.06	1303.7	2586.25
Length   70/7, alignment  9/ 0, fail:	961.109	1245.94	2783.2
Length   70/7, alignment  9/ 3, found:	1018.88	1305.34	2588.7
Length   70/7, alignment  9/ 3, fail:	961.922	1244.3	3205.56
Length   70/7, alignment  9/ 9, found:	1021.31	1303.72	2582.19
Length   70/7, alignment  9/ 9, fail:	961.922	1246.75	2788.91
Length   70/7, alignment  9/15, found:	1018.06	1302.89	2579.75
Length   70/7, alignment  9/15, fail:	960.297	1246.73	2784.02
Length   70/7, alignment 15/ 0, found:	1005.86	1295.56	2550.45
Length   70/7, alignment 15/ 0, fail:	948.078	1235.36	2749.02
Length   70/7, alignment 15/ 3, found:	1006.67	1293.12	2552.08
Length   70/7, alignment 15/ 3, fail:	950.516	1238.61	2748.2
Length   70/7, alignment 15/ 9, found:	1006.67	1293.94	2551.27
Length   70/7, alignment 15/ 9, fail:	948.906	1236.98	2747.39
Length   70/7, alignment 15/15, found:	1006.67	1294.77	2550.47
Length   70/7, alignment 15/15, fail:	947.266	1236.17	2748.2
Length   77/7, alignment  0/ 0, found:	1063.64	1352.55	2849.92
Length   77/7, alignment  0/ 0, fail:	1006.67	1293.14	3093.27
Length   77/7, alignment  0/ 3, found:	1064.45	1353.34	2849.12
Length   77/7, alignment  0/ 3, fail:	1006.67	1294.77	3093.25
Length   77/7, alignment  0/ 9, found:	1065.27	1353.36	2851.56
Length   77/7, alignment  0/ 9, fail:	1007.48	1293.14	3090.83
Length   77/7, alignment  0/15, found:	1064.45	1354.17	2851.56
Length   77/7, alignment  0/15, fail:	1007.48	1294.75	3093.25
Length   77/7, alignment  3/ 0, found:	1064.45	1351.73	2848.3
Length   77/7, alignment  3/ 0, fail:	1007.5	1293.94	3090
Length   77/7, alignment  3/ 3, found:	1064.45	1354.16	2845.86
Length   77/7, alignment  3/ 3, fail:	1008.3	1296.39	3089.2
Length   77/7, alignment  3/ 9, found:	1064.45	1350.91	2847.5
Length   77/7, alignment  3/ 9, fail:	1006.67	1294.75	3263.34
Length   77/7, alignment  3/15, found:	1066.08	1354.98	2845.86
Length   77/7, alignment  3/15, fail:	1006.67	1293.95	3091.64
Length   77/7, alignment  9/ 0, found:	1076.66	1360.69	2845.88
Length   77/7, alignment  9/ 0, fail:	1018.88	1304.53	3091.64
Length   77/7, alignment  9/ 3, found:	1078.3	1362.3	2848.31
Length   77/7, alignment  9/ 3, fail:	1018.06	1303.7	3123.38
Length   77/7, alignment  9/ 9, found:	1076.66	1363.12	2849.12
Length   77/7, alignment  9/ 9, fail:	1018.06	1303.72	3090.83
Length   77/7, alignment  9/15, found:	1076.66	1361.48	2848.31
Length   77/7, alignment  9/15, fail:	1018.06	1303.72	3092.45
Length   77/7, alignment 15/ 0, found:	1065.27	1354.17	2812.5
Length   77/7, alignment 15/ 0, fail:	1006.67	1293.14	3081.06
Length   77/7, alignment 15/ 3, found:	1064.45	1352.55	2810.88
Length   77/7, alignment 15/ 3, fail:	1006.67	1293.95	3081.86
Length   77/7, alignment 15/ 9, found:	1064.45	1350.91	2811.69
Length   77/7, alignment 15/ 9, fail:	1007.48	1295.56	3081.86
Length   77/7, alignment 15/15, found:	1066.08	1354.98	2811.69
Length   77/7, alignment 15/15, fail:	1007.48	1293.12	3082.69
Length   84/7, alignment  0/ 0, found:	1124.67	1410.31	3110.34
Length   84/7, alignment  0/ 0, fail:	1066.08	1354.16	3354.5
Length   84/7, alignment  0/ 3, found:	1123.05	1414.39	3111.17
Length   84/7, alignment  0/ 3, fail:	1063.64	1354.98	3354.5
Length   84/7, alignment  0/ 9, found:	1123.86	1410.31	3109.53
Length   84/7, alignment  0/ 9, fail:	1065.27	1350.92	3353.69
Length   84/7, alignment  0/15, found:	1123.05	1582.03	3113.61
Length   84/7, alignment  0/15, fail:	1064.45	1353.36	3354.5
Length   84/7, alignment  3/ 0, found:	1123.05	1416.02	3101.39
Length   84/7, alignment  3/ 0, fail:	1067.7	1354.98	3347.16
Length   84/7, alignment  3/ 3, found:	1124.67	1411.14	3104.66
Length   84/7, alignment  3/ 3, fail:	1065.27	1351.73	3347.17
Length   84/7, alignment  3/ 9, found:	1123.05	1411.14	3097.33
Length   84/7, alignment  3/ 9, fail:	1066.08	1350.91	3346.36
Length   84/7, alignment  3/15, found:	1123.86	1412.77	3103.83
Length   84/7, alignment  3/15, fail:	1066.08	1354.16	3363.44
Length   84/7, alignment  9/ 0, found:	1136.06	1421.7	3108.72
Length   84/7, alignment  9/ 0, fail:	1078.3	1362.3	3352.05
Length   84/7, alignment  9/ 3, found:	1134.44	1419.28	3101.41
Length   84/7, alignment  9/ 3, fail:	1077.47	1361.5	3351.23
Length   84/7, alignment  9/ 9, found:	1135.25	1420.08	3101.41
Length   84/7, alignment  9/ 9, fail:	1077.47	1362.3	3352.06
Length   84/7, alignment  9/15, found:	1135.27	1421.7	3103.02
Length   84/7, alignment  9/15, fail:	1076.66	1362.31	3351.23
Length   84/7, alignment 15/ 0, found:	1124.67	1411.12	3250.33
Length   84/7, alignment 15/ 0, fail:	1066.91	1354.98	3364.27
Length   84/7, alignment 15/ 3, found:	1123.05	1411.14	3101.41
Length   84/7, alignment 15/ 3, fail:	1066.89	1353.34	3376.47
Length   84/7, alignment 15/ 9, found:	1123.05	1411.94	3101.41
Length   84/7, alignment 15/ 9, fail:	1065.27	1351.73	3530.28
Length   84/7, alignment 15/15, found:	1123.86	1411.94	3090
Length   84/7, alignment 15/15, fail:	1066.09	1352.55	3345.53
Length   91/7, alignment  0/ 0, found:	1182.45	1471.34	3366.7
Length   91/7, alignment  0/ 0, fail:	1123.86	1412.77	3708.5
Length   91/7, alignment  0/ 3, found:	1181.64	1468.91	3378.08
Length   91/7, alignment  0/ 3, fail:	1123.05	1411.14	3707.69
Length   91/7, alignment  0/ 9, found:	1182.45	1468.92	3365.89
